outcome,player_name,x,y,distance,angle,pressure,shot_technique_89.0,shot_technique_90.0,shot_technique_91.0,shot_technique_92.0,shot_technique_93.0,shot_technique_94.0,shot_technique_95.0,play_pattern_1,play_pattern_2,play_pattern_3,play_pattern_4,play_pattern_5,play_pattern_6,play_pattern_7,play_pattern_8,play_pattern_9
0,Antoine Griezmann,111.8,35.3,-1.1073605787237313,0.07329134071368121,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,Juan Miguel Jiménez López,107.7,34.4,-0.6338763206392508,-0.2026665283152828,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Ousmane Dembélé,103.9,56.1,0.44445471031279604,0.8576005820761021,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,Lionel Andrés Messi Cuccittini,102.5,52.6,0.3040708191838945,0.3798768443110504,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Nabil Fekir,99.4,56.2,0.8450731241472055,0.5053203276938862,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Ousmane Dembélé,109.7,53.0,-0.27602281907307724,1.1991200065280072,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Óscar Mingueza García,116.6,34.1,-1.4152097275958617,1.6350103697087,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,Víctor Ruíz Torre,116.2,42.2,-1.697044507202638,0.08613124996223988,1.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,98.3,52.0,0.6807844994733766,0.027943739306883767,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,Víctor Ruíz Torre,111.0,44.0,-1.0610529929077053,-0.22935549091365742,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,Sergio Canales Madrazo,97.1,46.0,0.5498103474076114,-0.7088570299850132,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,Francisco António Machado Mota de Castro Trincão,102.5,49.9,0.13419143069772915,0.05662281118100827,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Jonathan Calleri,40.0,45.7,7.136978705935212,-1.2568701848635697,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,Enrique Barja Afonso,100.2,42.9,0.12312487134196588,-1.0369151919653752,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Jonathan Calleri,113.4,38.0,-1.4050925438360566,-0.5964062310920268,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,101.3,42.6,-0.008707854874632074,-1.0584630119866516,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,Jonathan Calleri,114.3,29.7,-0.8369577316841871,1.6863447127792974,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,Antoine Griezmann,107.5,40.1,-0.7520806087015697,-1.4437557851489393,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,Jordi Alba Ramos,113.1,28.2,-0.6158728925823189,1.6162461681258906,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,Rubén García Santos,112.2,29.8,-0.7124431947701093,1.2499969887473308,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Jonathan Calleri,102.5,40.2,-0.1693663533534758,-1.4336070466007378,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,97.0,26.8,0.8814061763197618,0.07494489279322766,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,100.8,31.2,0.2523935521912446,-0.1951993415839622,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,94.4,47.5,0.8997410652133665,-0.623762283519864,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Ousmane Dembélé,95.8,40.3,0.611438264490127,-1.4307414896073143,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,Sergino Dest,102.2,51.2,0.24188854832824616,0.19515351391847155,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Frenkie de Jong,110.7,50.7,-0.5567440085918336,1.0644862773442318,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,Jonathan Calleri,111.4,38.3,-1.1871854366416896,-0.8897043911532588,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,Pedro González López,93.1,32.5,1.0453926735666978,-0.6625083786700258,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,Jordi Alba Ramos,115.5,30.6,-0.9943124824356537,1.8609048548939005,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,112.4,47.7,-0.9480107481080906,0.8769488750241519,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,Moriba Kourouma Kourouma,101.7,41.2,-0.07169939592119555,-1.2735953817876764,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Ante Budimir,105.9,39.8,-0.5655210789525665,-1.4254502332461545,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,Adrián López Álvarez,103.8,51.1,0.07962898485747157,0.31087369134481607,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,David García Zubiría,112.7,37.9,-1.3235624500989294,-0.6382256124688144,1.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,Óscar Mingueza García,101.9,58.1,0.7740387067460309,0.8576005820761021,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,Karim Benzema,113.8,45.4,-1.2506325745577556,0.6537625840569425,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,Ousmane Dembélé,116.1,38.6,-1.7258530940581052,-0.4471678042964696,1.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,Luka Modrić,103.1,35.5,-0.17079836212995966,-0.6970589568813546,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Karim Benzema,90.9,34.5,1.2422305544234706,-0.914448309380749,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,Toni Kroos,101.0,27.2,0.4608321847406624,0.28758002333225624,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,Federico Santiago Valverde Dipetta,107.3,53.4,-0.05738757425118637,0.9369774034599273,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Lucas Vázquez Iglesias,105.9,42.4,-0.5420553335157657,-0.9683351853288883,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,Federico Santiago Valverde Dipetta,96.2,47.9,0.713400715963806,-0.5186828719100647,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,Éder Gabriel Militão,108.6,41.4,-0.8703256900282764,-1.1056997790922307,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,Ousmane Dembélé,94.9,46.8,0.8215277312095229,-0.6842358615107867,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,99.8,33.8,0.2534967348246055,-0.5858423718262619,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,112.8,24.6,-0.22776229076246707,1.8879741849599636,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,117.0,47.2,-1.2997972534655826,2.013926712085613,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,114.1,32.7,-1.1149691010318117,1.1704056776219278,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Toni Kroos,93.8,41.8,0.8514692042907254,-1.2643754945259509,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Karim Benzema,101.3,30.6,0.2301416017428936,-0.08856206600743544,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,Óscar Mingueza García,110.6,39.8,-1.1131084917595047,-1.404461664165415,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,90.5,35.5,1.2685708988337407,-1.0193165129825499,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,Toni Kroos,112.2,43.1,-1.2306451922418393,-0.3475625079898421,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,Lionel Andrés Messi Cuccittini,97.2,34.9,0.5137401682985401,-0.815982453293637,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,Óscar Mingueza García,113.6,56.5,-0.14645776453092182,2.087276422090202,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,Moriba Kourouma Kourouma,112.1,32.9,-0.9709999412390348,0.6998657062360847,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
